개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
휴게음식점,20151228,,01,영업/정상,01,영업,,76.88,부산광역시 금정구 장전동 130-25번지 리진타워,로제이브커피 북문점,20200128172930,U,2020-01-30 02:40:00.0,커피숍,389656.099904297,195178.066271568,커피숍,,,N,32.71
휴게음식점,20151127,,01,영업/정상,01,영업,,46.20,부산광역시 금정구 부곡동 14-2번지,더웨이닝커피,20180817174047,I,2018-08-31 23:59:59.0,기타 휴게음식점,390507.36498506,195820.85643586,기타 휴게음식점,,,N,46.2
휴게음식점,20160707,,01,영업/정상,01,영업,,64.50,부산광역시 사하구 괴정동 952-1번지 105동 108호 일부,커피에 반하다,20160731115535,I,2018-08-31 23:59:59.0,커피숍,381677.20929394,179443.91200198,커피숍,,,N,64.5
휴게음식점,20160711,,01,영업/정상,01,영업,,12.88,부산광역시 사하구 괴정동 429-51번지,컴포즈커피,20181005141129,U,2018-10-07 02:37:29.0,커피숍,381900.879270168,179799.447058123,커피숍,,,N,12.88
휴게음식점,20160712,,01,영업/정상,01,영업,,15.22,부산광역시 사하구 당리동 336-1번지,셀프피씨카페,20180829172027,I,2018-08-31 23:59:59.0,기타 휴게음식점,380223.374871857,179869.964110077,기타 휴게음식점,,,N,15.22
휴게음식점,20170328,,01,영업/정상,01,영업,,138.60,부산광역시 동래구 수안동 3-7번지,녹원커피숍,20181206134043,U,2018-12-08 02:40:00.0,커피숍,389664.270440329,191046.91579261,커피숍,,,N,138.6
휴게음식점,20170619,,01,영업/정상,01,영업,,64.71,부산광역시 동래구 명륜동 529-5번지,더마스터커피 동래점,20170725154901,I,2018-08-31 23:59:59.0,커피숍,389368.236349955,191315.649199709,커피숍,,,N,64.71
휴게음식점,20131023,,01,영업/정상,01,영업,,14.00,부산광역시 사하구 하단동 840번지 외 3필지,학생회관 커피점,20170418174206,I,2018-08-31 23:59:59.0,커피숍,379240.573215267,181413.478007094,커피숍,,,N,14
휴게음식점,20131023,,01,영업/정상,01,영업,,23.76,부산광역시 사하구 하단동 840번지 외 3필지,인문대 커피점,20170418173907,I,2018-08-31 23:59:59.0,커피숍,379240.573215267,181413.478007094,커피숍,,,N,23.76
휴게음식점,20131024,,01,영업/정상,01,영업,,46.29,부산광역시 사하구 다대동 34번지 106호,이디야커피,20180702134111,I,2018-08-31 23:59:59.0,커피숍,380671.597075945,175652.231841644,커피숍,,,N,46.29
휴게음식점,20160808,,01,영업/정상,01,영업,,19.74,부산광역시 사하구 하단동 277-2번지,아토카페,20170131115847,I,2018-08-31 23:59:59.0,커피숍,379697.483702324,179813.940476827,커피숍,,,N,19.74
휴게음식점,20170517,,01,영업/정상,01,영업,,24.00,부산광역시 동래구 온천동 1459-5번지,cafe051동래내성(카페051동래내성),20181219131017,U,2018-12-21 02:40:00.0,일반조리판매,388872.580292073,191269.422876457,일반조리판매,,,N,24
